fname,dialogue,summary,topic
train_0,"#person1#: 안녕하세요, 스미스씨.  호킨스 의사입니다.   오셨나요? #person2#: 건강검진을     같아서요. #person1#: 그렇군요, 당신은   건강검진을  않았습니다.  받아야 합니다. #person2#:  있습니다. 하지만  문제가 없다면 왜 의사를 만나러  하나요? #person1#: 심각한 질병을 피하는   방법은  조기에 발견하는 것입니다. 그러니 당신의 건강을  최소한 매년   오세요. #person2#: 알겠습니다. #person1#:  보세요. 당신의   괜찮아 보입니다.   들이쉬세요. 스미스씨,  피우시나요? #person2#:  #person1#: 당신도 알다시피, 담배는 폐암과 심장병의  원인입니다. 정말로 끊으셔야 합니다. #person2#:   시도했지만, 습관을 버리는 것이 어렵습니다. #person1#: 우리는 도움이    수업과 약물들을 제공하고 있습니다. 나가기    정보를 드리겠습니다. #person2#: 알겠습니다, 감사합니다, 의사선생님.","스미스씨가 건강검진을 받고 있고, 호킨스 의사는 매년 건강검진을 받는 것을 권장합니다. 호킨스 의사는 스미스씨가 담배를  데 도움이 될 수 있는 수업과 약물에 대한 정보를 제공할 것입니다.",건강검진 받기
train_1,"#person1#: 안녕하세요,  부인, 어떻게 지내셨나요? #person2#: 안녕하세요, 피터스 박사님.  지냈습니다, 감사합니다. 리키와   접종을 위해 왔습니다. #person1#: 좋습니다. 백신  기록을 보니, 리키는  소아마비, 디프테리아, b형  백신을 맞았군요.  14개월이므로,  a형 간염, 수두,  백신을 맞아야 합니다. #person2#: 풍진과 볼거리는 어떻게 되나요? #person1#: 지금은  백신들만 접종할 수 있고,    나머지를 접종할 수 있습니다. #person2#: 좋습니다. 박사님,  디프테리아 예방접종이 필요할 것 같아요. 마지막으로   아마도 15년 전이었던 것 같아요! #person1#: 저희가 기록을 확인하고 간호사에게 부스터를 접종하도록 하겠습니다. 이제, 리키의   잡아주세요,  찌릿할 수 있습니다.",파커 부인이 리키를 데리고 백신 접종을 하러 갔다. 피터스 박사는 기록을 확인한 후 리키에게 백신을 접종했다.,백신
train_2,"#person1#: 실례합니다,  한  보셨나요? #person2#:  종류의 열쇠인가요? #person1#: 5개의 열쇠와   장식이 있어요. #person2#: 안타깝네요! 저는  못했습니다. #person1#: 그럼,   도와주실 수 있나요?  여기는 처음이라서요. #person2#: 물론입니다. 기꺼이 도와드리겠습니다. 사라진 열쇠를 찾는 데 도와드리겠습니다. #person1#:  친절하시네요. #person2#:  말씀을요.  찾았어요. #person1#:  하느님 감사합니다! 어떻게 감사의 말씀을 드려야  모르겠네요. #person2#: 천만에요.","#person1#은 열쇠 한 묶음을 찾고 있고, 그것을 찾기 위해 #person2#에게 도움을 청하고 있습니다.",열쇠 찾기
train_3,"#person1#: 왜  여자친구가 있다는  말해주지 않았어? #person2#: 미안해,  이미 알고 있다고 생각했어. #person1#: 하지만 너가 그녀를 사랑한다는 걸 말해줘야 했어. #person2#:   않았어? #person1#:  알고 있잖아, 말하지 않았다고. #person2#: 그래,  말해주고 있잖아. #person1#: 그래, 하지만 너는 나에게  말해줄 수 있었어. #person2#:     몰랐어. #person1#:  농담이지. 어떻게 그녀와 결혼할 거라는 걸 말하지  수 있어? #person2#: 미안해,   중요하다고 생각하지 않았어. #person1#:  남자들이란!  똑같아.",#person1#은 #person2#가 여자친구가 있고 그녀와 결혼할 것이라는 사실을 #person1#에게 말하지 않았기 때문에 화가 났다.,여자친구가 있다
train_4,"#person1#: 안녕, 숙녀분들! 오늘  당신들은 정말  보여. 이   함께 해줄래? #person2#: 그는 귀여워! 그는 타이거   보여! 하지만, 나는 춤을  춰... #person1#: 괜찮아. 내가 너에게  올바른 동작을 보여줄게.  이름은 말릭이야. #person2#: 만나서 반가워. 나는 웬이고, 이쪽은 니키야. #person1#:  어때, 비스타?  친구를 춤추는 곳으로 데려가도 괜찮을까? #person2#: 네  밟아도 상관없다면 그녀는   않을 거야. #person1#: 좋아. 멋져! 가자!",말릭이 니키에게 춤을 요청한다. 말릭이 발을  것을 신경 쓰지 않는다면 니키는 동의한다.,댄스
train_5,"#person1#:  축하해, 에임즈! #person2#: 고마워, 리사. #person1#:    선물이야. 마음에 들었으면 좋겠어. #person2#: 오, 대박! 정말 좋아! 내가  오랫동안 기다렸다는 걸 너도 알잖아. #person1#: 그렇게 말해줘서 정말 기뻐. #person2#: 여기  ; 너에게  친구들을 소개하고 싶어.",리사가 에임즈에게 생일 선물을 주고 에임즈는 그것을 매우 좋아한다.,생일
train_7,"#person1#: 도와드릴  있나요? #person2#: 네. 저는  주말에 이력서를 보냈습니다.   자리에 지원하려고 합니다. #person1#: 이름을 알려주실 수 있나요? #person2#:  이름은  리아오입니다.     씁니다. #person1#: 알겠습니다. . . 지원서에  특별히 궁금한  있나요? #person2#: 아니요. 근처에 있어서 제 이력서를 받았는지 확인하러 들렸습니다. #person1#: 아,  없습니다. 잠시만 기다려주시면 확인해보겠습니다. 주디 리아오. 찾아보겠습니다. . .  여기 있네요.주디 리아오. 이력서를 받았습니다. #person2#: 감사합니다. #person1#:  도움이 필요한 것이 있나요? #person2#: 네, 아마도요.  광고에는 이력서, 자기소개서, 그리고 추천서   원한다고  있었습니다. 그것들을  봉투에  보냈습니다. 다른  보내야 할까요? #person1#: 아니요, 그것들만 있으면 충분합니다. 그것들이 포함되어 있다면 충분합니다. #person2#:  일정이  시작되는지 아시나요? #person1#:  정확히 모르겠습니다. 하지만 아직도 이력서를  있습니다.  일주일이나 두 주 후에 지원자들에게 전화를  시작할 것 같습니다. #person2#: 알겠습니다. 도와주셔서 정말 감사합니다. 많은 도움이 되었습니다. #person1#: 추가적인 질문이 있으시면 언제든지 전화하실 수 있습니다. #person2#: 감사합니다. #person1#: 감사합니다. 안녕히 가세요.","주디 리아오는 회계 보조 자리에 지원하고 있습니다. 그녀는 #person1#에게 이력서를 받았는지 물었고, #person1#은 그녀에게 확인해주었습니다. #person1#은 주디에게 다른 것을 보낼 필요가 없다고 말하고, 일주일이나 두 주 후에 지원자들에게 전화를 걸기 시작할 것이라고 말했습니다.",직장 지원
train_8,"#person1#: 이것은 좋은  컴퓨터 패키지입니다. 좋은 cpu, 256메가바이트의 ram, 그리고 dvd 플레이어가 있습니다. #person2#: 모뎀도 포함되어 있나요? #person1#: 네,  모뎀이 있습니다. 전화선을 컴퓨터 뒷면에 꽂기만  됩니다. #person2#: 모니터는 어떤가요? #person1#: 15인치 모니터가 포함되어 있습니다. 원한다면 약간의  비용으로 17인치 모니터로  수 있습니다. #person2#: 괜찮습니다. 15인치면 충분합니다. 좋습니다, 제가 사겠습니다.",#person1#은 기본 컴퓨터 패키지를 #person2#에게 보여줍니다. #person2#는 그것이 좋다고 생각하고 구매하려 합니다.,컴퓨터 패키지
train_9,"#person1#: 실례합니다,  사무소가 어디인지 아시나요? #person2#: 네, 알고 있습니다. 제가 안내해드리겠습니다. #person1#: 감사합니다. #person2#: 해외에서 공부하거나 일하려고 하시나요? #person1#: 저는 해외에서 공부하려고 합니다. #person2#: 어떤 과목을 공부하려고 하시나요? #person1#: 저는 영문학을 공부하려고 합니다. #person2#: 비자를 이미 받으셨나요? #person1#: 아직입니다. 오늘 비자 담당자와 인터뷰가 있습니다. #person2#: 알겠습니다. 첫 인터뷰인가요? #person1#: 아니요, 이미 3번의 인터뷰를 보았습니다.",#person1#은 비자 담당자와 인터뷰를 앞두고 있습니다. #person1#은 비자 사무소의 위치를 #person2#에게 물었습니다.,비자
train_10,"#person1#:  하나만 들어주실래요? #person2#: 그럼요.  일인가요? #person1#: 가게에  다녀와  수 있을까요? 몇  필요한 게 있어서요. #person2#: 알겠습니다. 무엇을  드려야 하나요? #person1#: 그럼,  좀 사다 줄 수 있을까요? #person2#: 알겠습니다. 얼마나 사다 드려야 하나요? #person1#: 작은  하나요. 그리고 오렌지도 몇  필요해요. #person2#: 몇 개나요? #person1#:  보자면...   개요. #person2#: 그  더 필요한 게 있나요? #person1#: 네.  우유도 다 떨어졌어요. #person2#: 알겠습니다. 얼마나 사다 드려야 하나요?  하나요? #person1#: 아니요.  갤런이면 충분할 것 같아요. #person2#: 그게 다인가요? #person1#:  것 같아요. 다 기억하셨나요? #person2#: 네. 작은 봉지 설탕, 오렌지 네  그리고  반 갤런이요. #person1#:  충분한가요? #person2#: 그런 것 같아요. #person1#: 정말 고마워요. 감사합니다.","#person1#이 #person2#에게 부탁을 합니다. #person2#는 동의하고 작은 봉지 설탕, 여섯 개의 오렌지, 그리고 우유 반 갤런을 사다 줍니다.",부탁하기
train_11,"#person1#:  학사모와 가운을  있는  사진이야. #person2#: 정말 멋지지 않아!  엄마가 마이애미 대학교에서  학위를 받았던 때야. #person1#: 그래, 우리는 그녀를 정말 자랑스럽게 생각해. #person2#: 오,  모두가 함께 있는 이 사진도 좋네. 네거티브  가지고 있니? 복사본을  수 있을까? #person1#: 물론이지, 너를 위해  만들어 줄게. 프린트를 원해? #person2#: 아니. 슬라이드를 원해, 새로운 프로젝터를 가지고 있거든. #person1#:    싶네. #person2#:  위해  사이즈의 프린트도 만들어  #person1#: 당연하지.",#person2#는 사진이 아름답다고 생각하고 #person1#에게 슬라이드와 지갑 사이즈의 프린트를 달라고 요청한다.,복사본
train_12,"#person1#:  당신에게도  추잡한 농담을 보냈나요? 보세요! #person2#: 정말 끔찍하네요!   이메일은 한 번이지만, 성희롱은   거죠. #person1#: 그래서   제 주소를 물어본 거였네요-그냥  괴롭히려는 거였어요! #person2#: 명백히 음란물이나 원하지  다른 것들을 거부하기 위해  필터를 사용해   어떨까요.",#person2#는  음란한 물건을 거부하기 위해 #person1#에게 스팸  사용을 제안했습니다.,성희롱
train_13,"#person1#: 키이스는 몇 살인가요? #person2#: 그는 21살입니다. 제임스는 몇 살인가요? #person1#: 그는 키이스보다 한  많지만, 보기에는 더  보이네요. #person2#: 당신의 아버지는 어떻게 지내시나요? #person1#: 그는 괜찮아요. 지난  은퇴했어요.   바뀌고 있어요. 이제 그는 편안하게  생활을  수 있어요. #person2#: 그는 손주들과 더 많은 시간을  수 있겠네요. #person1#: 오, 그럴 것  않아요. 그는   나라를 여행하고 싶어해요. #person2#: 그러니까, 그는 더 활동적인 은퇴 생활을 원하는 거군요. 좋은 생각이네요! #person1#: 당신은 노년을 어떻게 보내고 싶나요? #person2#: 아마도  방식으로 보내고  것 같아요.",#person1#와 #person2#는 가족들의 나이에 대해 이야기하고 있습니다. #person2#의 아버지는 은퇴 후 세계 여행을 하고 싶어합니다.,나이
